"id","name","abbreviation","type"
5741,"ACT Alliance / Lutheran World Relief (LWR/Canada)","ACT/LWR (Canada)","NGOs"
13095,"ACT Alliance / National Council of Churches of Kenya","ACT/NCCK","NGOs"
5527,"ACT Alliance / Norwegian Church Aid","ACT/NCA","NGOs"
13260,"ACT Alliance / Presbyterian Disaster Assistance","ACT/PDA","NGOs"
14478,"ACT Alliance / Service Chrétien d'Haïti","ACT/SCH","NGOs"
5944,"ACT Alliance / Solidarité Protestante","ACT/SP","NGOs"
13016,"ACT Alliance / Sudan Council of Churches","ACT/SCC","Private Orgs. & Foundations"
6045,"ACT Alliance / United Church of Canada","ACT/UCC","Private Orgs. & Foundations"
5220,"ACT Alliance / United Methodist Committee on Relief","ACT/UMCOR","NGOs"
15711,"ACT Alliance / World Renew","ACT/CRWRC/World Renew","NGOs"
15375,"ACT Alliance / YAKKUM Emergency Unit","ACT/YAKKUM (YEU)","NGOs"
6781,"ACT Netherlands","ACT Netherlands","NGOs"
13785,"Actavis Group","Actavis ","Private Orgs. & Foundations"
14746,"Actelion","Actelion","Private Orgs. & Foundations"
12739,"Action Africa Help-International","AAHI","NGOs"
15073,"Action Against Disasters Somalia","AADSOM","NGOs"
16821,"Action against Violence on Women and Children","AVOWAC","NGOs"
6396,"Action and Development Solidaires International","ADSI","NGOs"
16851,"Action au Développement Agro-Pastoral","ADAP","NGOs"
5190,"Action by Churches Together (ACT)","ACT","NGOs"
16813,"Action Chretienne pour combattre la pauvretre et l'analphabetisme","ACCOPA","NGOs"
5186,"Action Contre la Faim","ACF","NGOs"
8679,"Action Contre la Pauvreté (ACP)","ACP","NGOs"
15714,"Action de Dévelopement Durable en Afrique","ADDA","NGOs"
8676,"Action de lutte contre la pollution des sources et des puits","ALSEP","Private Orgs. & Foundations"
13994,"Action des Chrétiens pour l'Abolition de la Torture","ACAT","NGOs"
16491,"Action des groupements pour le développement local","AGDL","NGOs"
14873,"Action d'Espoir","ADE","NGOs"
6525,"Action d'Urgence International","Action d'Urgence International","NGOs"
7645,"Action et Initiatives pour le Développement Communautaire (AIDC)","AIDC","NGOs"
13995,"Action for Community Transformation Organization - Afghanistan","ACT-Afghanistan","NGOs"
16251,"Action for Development","AFOD","NGOs"
16832,"Action for Health, Research and Development","HARD","NGOs"
7116,"Action for Independent Media","Action for Independent Media","NGOs"
14889,"Action for Peace and Sustainable Development","APSD","NGOs"
8368,"Action for Poverty Reduction and Livestock Modernization in Karamoja","ARELIMOK","NGOs"
16671,"Action for Reform and International Development","ARID","NGOs"
15339,"Action for Relief and Development","ARD","NGOs"
16198,"Action for Rural Development","ARD","NGOs"
7332,"Action for the Rights of the Child","ACR","NGOs"
15875,"Action for Youth & Environmental Development","AYED","NGOs"
16440,"Action Humanitaire pour le Développement","ACHDEV","NGOs"
8864,"Action in Semi-Arid Lands","ASAL","NGOs"
16081,"Action Mopti","AM","NGOs"
15598,"Action on Armed Violence","AOAV","NGOs"
15765,"Action pour la défense de l'éducation, de la santé et de l'environnement en milieu scolaire au Niger","ADEESEN","NGOs"
8680,"Action pour le Bien Etre Communautaire (ABC)","ABC","NGOs"
16477,"Action pour le Développement","Action Dev","NGOs"
8518,"Action pour le Développement Intégral au Kivu","ADI-Kivu","NGOs"
7646,"Action pour le Développement Intégral et Durable (ADID)","ADID","NGOs"
16483,"Action pour l'Education Sociale et la Santé","ACESS","NGOs"
15604,"Action pour un Monde Uni","Action pour un Monde Uni","NGOs"
5378,"Action Refugees","AR","NGOs"
5269,"Action Refugies, France","Action Refugies, France","NGOs"
14471,"Action Secours Ambulance","ASA","NGOs"
15495,"Action Society for Water Supply Environment and Development","ASWED","NGOs"
13220,"Action Solidarité Tiers Monde","ASTM","NGOs"
5511,"ActionAid","ActionAid","NGOs"
8454,"ActionAid International NEPAL","AAIN","NGOs"
7955,"ACTIONAID INTERNATIONAL ZIMBABWE","AAI-Z","NGOs"
8472,"ActionAid Kenya","AAK","NGOs"
12949,"ActionAid-Pakistan","AAPk","NGOs"
5835,"ActionAid-Uganda","AA","NGOs"
8051,"ACTIONARM","ACTIONARM","NGOs"
16811,"Action-Line Rehabilitation and Development Organization","ALRAD","NGOs"
16738,"Actions Communautaires pour le Bien-être Familial","ACBF","NGOs"
16146,"Actions et Interventions pour le Développement et l'Encadrement Social","AIDES","NGOs"
7810,"Actions Médicales Internationale","AMI","NGOs"
16380,"Actions pour la Gestion Intégrée des Ressources Naturelles","AGIR","NGOs"
15633,"Actions pour la Protection et l’Encadrement de l’Enfant","APEE","NGOs"
15987,"Actions pour la Santé et le Développement de l'Enfant","ACSADE","NGOs"
14069,"Actions pour le Developpement Integre en Mileu Rural","ADIMIR","NGOs"
14050,"Active Development Aid","ADA","NGOs"
16494,"Active for People in Need","ACTPIN","NGOs"
8865,"Active in Development Association","ADA","NGOs"
6097,"Active Learning Network for Accountability and Performance","ALNAP","Private Orgs. & Foundations"
15699,"Activist Network for Disabled People","ANDP","NGOs"
14559,"Acts of Mercy International","AMI","NGOs"
5970,"ACU/START","ACU/START","NGOs"
7948,"Acumet Catholic Parish","ACP","NGOs"
14986,"Acupuncture Psycho service","APS","NGOs"
15857,"Ad Council","Ad Council","NGOs"
8189,"ADA","ADA","NGOs"
12783,"Adakar Peace & Development Initiatives","APEDI","NGOs"
7591,"Adam's Peak","Adam's Peak","NGOs"
16751,"Adana Metropolitan Municipality","Adana Metropolitan Municipality","Government"
7580,"ADC Foundation","ADC Foundation","Private Orgs. & Foundations"
5704,"Admira","Admira","NGOs"
14699,"Adobe","Adobe","Private Orgs. & Foundations"
6888,"ADRA/HELP International","ADRA/HI","NGOs"
8668,"ADRA/SCDO","ADRA/SCDO","NGOs"
8099,"ADU_04","ADU_04","NGOs"
8000,"Advancement for Small Enterprise Programme","ASEP","NGOs"
14700,"Advantest Corporation","Advantest Corporation","Private Orgs. & Foundations"
13326,"Advent Software","Advent Software","Private Orgs. & Foundations"
6579,"Adventist Development and Relief Agency ","ADRA ","NGOs"
15125,"Advocacy, Research, Training and Services (ARTS) Foundation","ARTS Foundation","NGOs"
16786,"Advocates Coalition for Rights and Development","ADCORD","NGOs"
16580,"Aertze der Welt e.V.","Aertze der Welt e.V.","NGOs"
8242,"Aerzte für die Dritte Welt","Aerzte für die Dritte Welt","NGOs"
5231,"AETF","AETF","NGOs"
13452,"Aetna Foundation","Aetna Foundation","Private Orgs. & Foundations"
16077,"AFASO","AFASO","NGOs"
7853,"AFD","AFD","NGOs"
14550,"Afghan Bureau for Reconstruction","ABR","NGOs"
7089,"Afghan Center","Afghan Center","NGOs"
13140,"Afghan Co-operation for Safety and Development Organizations","ACSDO","NGOs"
6004,"Afghan Development Association","ADA","NGOs"
14485,"Afghan Global Development Organization","AGDO","NGOs"
5262,"Afghan Health & Development Services","AHDS","NGOs"
5971,"Afghan Health and Social Assistance Organisation","AHSAO","NGOs"
12679,"Afghan Horticulture Development and Rehabilitation Organization","AHDRO","Private Orgs. & Foundations"
14978,"Afghan Literacy Organization","ALO","NGOs"
5977,"Afghan Mobile Reconstruction Association","AMRAN","NGOs"
15556,"Afghan Nation for Reality Services","ANRS","NGOs"
16115,"Afghan NGO Security Office","ANSO","NGOs"
8423,"Afghan Reconstruction Trust Fund","ARTF","Inter-governmental orgs."
6342,"Afghan Red Crescent","Afghanistan RC","Red Cross / Red Crescent"
6214,"Afghan Research and Evaluation Unit","AREU","Private Orgs. & Foundations"
16111,"Afghan Social and Agricultural Affairs Rehabilitation Organization","ASAARO","NGOs"
15034,"Afghan Social Development Organization","ASDO","NGOs"
6380,"Afghan Technical Consultants","ATC","NGOs"
15859,"Afghan Trust Development Service Organization","ATDSO","NGOs"
14619,"Afghan Women Association for Rehabilitation & Development","Award","NGOs"
12999,"Afghan Women Enterprise Network","AWEN","NGOs"
13089,"Afghan Women's Educational Center","AWEC","NGOs"
6390,"Afghan Womens Network","AWN","NGOs"
5255,"Afghanaid","Afghanaid","NGOs"
6922,"Afghanischer Arzteverein in Deutschland e.V.","AAD","Private Orgs. & Foundations"
7462,"Afghanistan","Afghanistan","Government"
15035,"Afghanistan Bright Future Organization","ABFO","NGOs"
14523,"Afghanistan Center for Training and Development","ACTD","NGOs"
12661,"Afghanistan Children Training Organization","ACTO","NGOs"
12678,"Afghanistan Demain","AD","Private Orgs. & Foundations"
12912,"Afghanistan Development & Educational Organization","ADEO [Afghanistan]","NGOs"
8026,"Afghanistan Independent Human Rights Commission","AIHRC","NGOs"
12657,"Afghanistan Landmine Survivors' Organisation","ALSO","Private Orgs. & Foundations"
15032,"Afghanistan National Re-Construction Co-ordination","ANCC","NGOs"
5978,"Afghanistan Solidarity Organization","ASO","NGOs"
7233,"Afghanistan-Hilfe e.V.","Afghanistan-Hilfe e.V.","NGOs"
8324,"Afkar Society for Development and Humanitarian Relief","ASDHR","Private Orgs. & Foundations"
14701,"Aflac","Aflac","Private Orgs. & Foundations"
6687,"AFMAL","AFMAL","NGOs"
8802,"Africa 2000 Network","A2N","NGOs"
5833,"Africa 2000 Network-Uganda","ANU","NGOs"
8866,"Africa 70","Africa 70","NGOs"
16406,"Africa and Middle East Refugee Assistance","AMERA","NGOs"
16834,"Africa Arise International","AAI","NGOs"
7956,"Africa Centre for Holistic Management","ACHM","NGOs"
16394,"Africa Child help Initiative","ACHI","NGOs"
7602,"Africa Directo","Africa Directo","NGOs"
16233,"Africa Health and Nutrition Group International","AHANI","NGOs"
5837,"Africa Humanitarian Action","AHA","NGOs"
8580,"Africa Inland Church","AIC","NGOs"
7064,"Africa Muslims Agency (Johannesburg)","AMA","Private Orgs. & Foundations"
6702,"Africa Rehabilitation (AREP)","Africa Rehabilitation (AREP)","NGOs"
7544,"Africa Self Help Assistance Programme","ASAP","NGOs"
16890,"Africa Solidarity Trust Fund","AFTS","Private Orgs. & Foundations"
15003,"Africa Women Welfare Committee","AWECO","NGOs"
6699,"African Centre for Human Advocacy","ACHA","NGOs"
15568,"African Centre for Volunteers, The","ACV-Kenya","NGOs"
16023,"African Child Organization","ACO","NGOs"
8370,"African Child Outreach Trust","ACOT","Private Orgs. & Foundations"
8532,"African Commission Human and People's Rights","ACHPR","NGOs"
8432,"African Development and Emergency Organisation","ADEO","NGOs"
5532,"African Development Bank","AfDB","Inter-governmental orgs."
7838,"African Development Network","ADEN","NGOs"
15603,"African Development Solutions","ADESO","NGOs"
15555,"African Development Trust","ADT","NGOs"
5584,"African Educational Trust","AET","NGOs"
8576,"African Family Health","AFH","NGOs"
15671,"African First Aids","AFFAIDS","NGOs"
16325,"African Foundation for Education","AFE","NGOs"
8655,"African Institute for Agrarian Studies ","AIAS","Private Orgs. & Foundations"
16783,"African Leadership Skills Initiative","ALSI","NGOs"
5143,"African Medical and Research Foundation","AMREF","NGOs"
6951,"African Mission in Burundi","AMIB","Inter-governmental orgs."
15106,"African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia","ANPPCAN Som-Chapter","NGOs"
7543,"African Network for the Prevention and Protection Against Child Abuse and Neglect in Zimbabwe","ANPPCAN","NGOs"
16862,"African Rainbow Minerals","African Rainbow Minerals","Private Orgs. & Foundations"
16154,"African Relief and Development","ARD International","NGOs"
16029,"African Relief and Development Initiative","ARDI","NGOs"
15873,"African Relief and Development Organization","AFDO","NGOs"
16083,"African Renaissance At Word","ARAW","NGOs"
8028,"African Rescue Committee","AFREC","NGOs"
6560,"African Revival Ministries","ARM","Private Orgs. & Foundations"
15874,"African Rural Advancement Organization","ARAO","NGOs"
6928,"African Union","African Union","Inter-governmental orgs."
13219,"African Union Mission in Somalia","AMISOM","Inter-governmental orgs."
7593,"African Union Mission in Sudan","AMIS","Inter-governmental orgs."
15915,"African Volunteers for Relief and Development","AVORD","NGOs"
16492,"African Water Environnement and Sanitation Organization","AWESO","NGOs"
5589,"Africare","Africare","NGOs"
7456,"Africare/Catholic Relief Services","Africare/CRS","NGOs"
14998,"Afrique Secours Assistance","ASA","NGOs"
16443,"Afrique Solidarité - Suisse","ASOL-Suisse","NGOs"
7718,"Afrique Verte Burkina","AVB","NGOs"
7719,"Afrique Verte Mali","AVM","NGOs"
13911,"Afrique Verte Niger","Afrique Verte Niger","NGOs"
15012,"Afro-Canadian Evangelical Mission","ACEM","NGOs"
15871,"Afrocare Development Foundation","ADF","NGOs"
5975,"Aga Khan Development Network","AKDN","NGOs"
5765,"Aga Khan Foundation","AKF","Private Orgs. & Foundations"
8771,"Aga Khan Foundation Tajikistan","AKFT","Private Orgs. & Foundations"
14320,"Aga Khan Rural Support Programme","AKRSP","Private Orgs. & Foundations"
8496,"AGEF","AGEF","NGOs"
7510,"Agence d'Assistance aux Rapatries et Refugies au Congo","AARREC","NGOs"
16371,"Agence Humanitaire Africaine","AHA","NGOs"
15547,"Agence Inter-régionale pour le Développement","AIDE","NGOs"
14540,"Agency for Assistance and Development of Afghanistan","AADA","NGOs"
5824,"Agency for Cooperation and Research in Development","ACORD","NGOs"
15608,"Agency for Development and Aid","ADA","NGOs"
13075,"Agency for Humanitarian and Development Assistance for Afghanistan","AHDAA","NGOs"
13148,"Agency for Peace and Development","APD","NGOs"
6227,"Agency for Rehabilitation and Development","ARD","Private Orgs. & Foundations"
5286,"Agency for rehabilitation and Energy-Conservation in Afghanistan","AREA","NGOs"
15614,"Agency for Research and Development Initiative","ARDI","NGOs"
14845,"Agency for Rural Transformation","ART","NGOs"
14932,"Agency for Social Transformation and Development","ASTAD","NGOs"
6458,"Agency for Technical Cooperation and Development","ACTED","NGOs"
14672,"Agenzia Italiana Risposta Emergenze","AGIRE","Private Orgs. & Foundations"
6866,"Agglobe Services International and the Korean Unpasan General Trading Company","ASI & KUGTC","NGOs"
15234,"Agha Khan Building and Planning","AGBP","NGOs"
12996,"Aghaz - Initiative Towards Development","Aghaz","Private Orgs. & Foundations"
16616,"AGHSAN","AGHSAN","NGOs"
12810,"Agility","Agility","Private Orgs. & Foundations"
16448,"Agir Ensemble contre la Faim et pour le Développement","AGEFAD","NGOs"
15488,"Agir Ensemble pour le Développement","AED","NGOs"
12876,"Agricultural and Environmental Development Society","AEDS","Private Orgs. & Foundations"
6450,"Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance","ACDI/VOCA","NGOs"
8377,"Agricultural Development Organisation","ADO","NGOs"
8357,"Agricultural Guiding and Awareness Society","AGAS","Private Orgs. & Foundations"
8401,"Agricultural Marketing Cooperative","AMC","NGOs"
13126,"Agricultural Support Network","ASN","NGOs"
16310,"Agricultural Technology Transfer Society","ATTS","NGOs"
14409,"Agriculture Engineers Association","AEA","NGOs"
15330,"Agriculture Relief Services","ARS","NGOs"
6716,"AGRISUD","AGRISUD","NGOs"
5097,"Agri-Systems","AS","NGOs"
6669,"Agriterra","Agriterra","NGOs"
14574,"AGROCARE Community Development Association","AGROCARE","NGOs"
13883,"Agronomes et Vétérinaires Sans Frontières","AVSF","NGOs"
8379,"Agro-Pastoral Development Network","APDN","Private Orgs. & Foundations"
7513,"AGROSPHERE","AGROSPHERE","NGOs"
7704,"AH Dames Suisse","AH Dames Suisse","NGOs"
16928,"Ahalm Charity Organization for Women Empowerment and Child Care","ACOWECC","NGOs"
15010,"Ahazeeg Organization for Orphans","AHOO","NGOs"
13235,"AHS","AHS","NGOs"
5972,"AIA","AIA","NGOs"
5298,"AICF-F","AICF-F","NGOs"
14867,"Aid Afghanistan for Education","AAE","NGOs"
5101,"Aid for Central Africa","ACA","NGOs"
7839,"Aid for Needy Development Programme","ANDP","NGOs"
14101,"Aid for Refugees and Orphans","ARO","NGOs"
13596,"Aide à l'Enfance de Canada","Aide à l'Enfance de Canada","NGOs"
8735,"Aide à l''Enfance de l''Inde","Aide à l''Enfance de l''Inde","NGOs"
7999,"Aide au Développement de Gembloux ","ADG","NGOs"
15760,"Aide au Développement de la Médecine Traditionnelle","Aidemet","NGOs"
16387,"Aide aux Victimes de Désastres aux Philippines","AVDP","NGOs"
7224,"Aide et Action","Aide et Action","NGOs"
5749,"Aide Médicale  Internationale ","AMI","NGOs"
7257,"AIDER","AIDER","NGOs"
13536,"Aidmatrix","Aidmatrix","Private Orgs. & Foundations"
12914,"Aids Foundation for Children","AFC","Private Orgs. & Foundations"
7604,"AIG Disaster Relief Fund","AIG Disaster Relief Fund","Private Orgs. & Foundations"
14295,"AIMS Organization","AIMS Organization","NGOs"
15750,"AiN - Afghanistankomiteen i Norge","AiN - Afghanistankomiteen i Norge","NGOs"
5973,"AÏNA (Afghanistan)","AÏNA ","NGOs"
5996,"AIR AID","AIR AID","NGOs"
7387,"Air Cargo Associates","Air Cargo Associates","Private Orgs. & Foundations"
6305,"Air Charter World","ACW","Private Orgs. & Foundations"
13327,"Air Products","Air Products","Private Orgs. & Foundations"
5639,"Air Serv International","ASI","NGOs"
13773,"Airamid Health Management","Airamid Health Management","Private Orgs. & Foundations"
13867,"Airbus Foundation","Airbus Foundation","Private Orgs. & Foundations"
13944,"Airline Ambassadors International","AAI","NGOs"
6308,"Airline Cargo Service","ACS","Private Orgs. & Foundations"
16926,"Airlink","Airlink","Private Orgs. & Foundations"
14588,"AISHA Association for Woman and Child Protection","AISHA","NGOs"
15124,"Aitemad Research and Development Organization","ARDO","NGOs"
5974,"AITM","AITM","NGOs"
14205,"AJK Rural Support Programme","AJKRSP","NGOs"
5129,"Ajuda de Desenvolvimento de Povo para Povo","ADPP","NGOs"
6725,"AJUDECA","AJUDECA","NGOs"
13774,"AK Steel","AKS","Private Orgs. & Foundations"
13575,"Akin Gump Strauss Hauer & Feld LLP","Akin Gump","Private Orgs. & Foundations"
5145,"Aktion Afrika Hilfe","AAH","NGOs"
7411,"Aktion Deutschland Hilft","ADH","NGOs"
5233,"Aktion Osterreicherhelfen Afghanben","Aktion Osterreicherhelfen Afghanben","NGOs"
8320,"Al Afran Media and Culture ","AAMC","Private Orgs. & Foundations"
15656,"Al Amal Organization for Community Development","AOCD","NGOs"
8317,"Al Anbar Center for Humanitarian Relief","AACHR","NGOs"
13036,"Al Azhar University Gaza","AUG","Private Orgs. & Foundations"
16420,"Al ghara Charity Organization-Jordan","Al ghara Charity Organization-Jordan","Private Orgs. & Foundations"
16602,"Al Ihsan NGO","Al Ihsan NGO","NGOs"
14931,"Al Makassed Hospital","Al Makassed Hospital","NGOs"
14483,"Al Maktoum Foundation","AMF","Private Orgs. & Foundations"
8430,"Al Mamoura Humanitarian Establishment","AMHE","NGOs"
16732,"Al Mezan Center for Human Rights","Al Mezan","NGOs"
15123,"Al Mustafa Foundation","Al Mustafa Foundation","NGOs"
14457,"Al Rahma Islamic Organization","Al Rahma","NGOs"
14389,"Al Zahraa Society for Woman and Child Development","Al Zahraa","NGOs"
8156,"Al Zubair Charity Organisation","Al Zubair Charity Organisation","Private Orgs. & Foundations"
16229,"Al-Afeea Fund","Al-Afeea Fund","NGOs"
13081,"Al-Ahleya Association for the development of palm and dates","ASDPD","NGOs"
15686,"Alamah Organisation for Community Devt","AOCD","NGOs"
14524,"Al-Amal Charity Organization for the Disabled","TWASOL","NGOs"
16535,"Al-Amal Community for Social Welfare","Al-Amal Community for Social Welfare","NGOs"
16881,"Alaqsa Club Organization","ASC","NGOs"
12765,"Al-Aqsa Islamic Society, USA","AAIS","Private Orgs. & Foundations"
14573,"Alaska Sudan Medical Project","ASMP","NGOs"
15910,"Alawn Foundation for Development","AFD","NGOs"
14480,"Alban Organization for Development and Rehabilitation","AODR","NGOs"
7252,"Albania","Albania","Government"
6031,"Albanian Red Cross","Albania RC","Red Cross / Red Crescent"
13799,"Albany Diocese","Albany Diocese","Private Orgs. & Foundations"
14664,"AlBasar Foundation","ABF","Private Orgs. & Foundations"
16887,"Alber Charity Society","ACS","NGOs"
13311,"Alcoa Foundation","Alcoa Foundation","Private Orgs. & Foundations"
13328,"Alcon Laboratories","Alcon Laboratories","Private Orgs. & Foundations"
12726,"Al-Dameer Association for Human Rights","Al-Dameer Association for Human Rights","NGOs"
6069,"ALDHU - Latin American Association for Human Rights ","ALDHU","NGOs"
14984,"Aldrb Alkhder Saving and Credit Cooperative Association","AASCCA","NGOs"
16734,"Al-ehya'a Scientific Association","ASA","NGOs"
6641,"AlertNet","AlertNet","NGOs"
8425,"Alexander Bodini Foundation","Alexander Bodini Foundation","Private Orgs. & Foundations"
16609,"Alfajr Palestinian Youth Association","FPYA","NGOs"
14287,"Alfalah Development Foundation","ADF","NGOs"
5391,"Algeria","Algeria","Government"
5885,"Algerian Red Crescent","Algerian RC","Red Cross / Red Crescent"
12727,"Al-Haq","Al-Haq","NGOs"
13997,"AL-Harah Theater","AL-Harah Theater","NGOs"
14516,"Al-Hayat Foundation for Motherhood and Childhood Yemen","HFMCY","NGOs"
15701,"Alhusna Charity Organization","AHCO","NGOs"
16749,"Aliab Rural Development Agency","ARUDA","NGOs"
5710,"ALICORP","ALICORP","Private Orgs. & Foundations"
16798,"Aliko Dangote's Foundation","Aliko Dangote's Foundation","Private Orgs. & Foundations"
14963,"Al-Ishah Rural Development and Environmental Protection Organization","ADO","NGOs"
16164,"Al-Islah Association","Al-Islah Association","NGOs"
7787,"Alive and kicking","Alive and kicking","NGOs"
15118,"Alkhair Development Organization","ADO","NGOs"
16373,"Al-Khair Foundation","AKF","NGOs"
14408,"Al-Khidmat Foundation","Al-Khidmat Foundation","NGOs"
15747,"Alkhold Voluntary for Development","KHVOD","NGOs"
8581,"ALL CLERGY’S NETWORK ","ACN","NGOs"
14518,"All Hands Volunteers (previously Hands On Disaster Response)","AHV","NGOs"
15126,"All Sanghar Handicap Association","ASHA","NGOs"
7057,"Alliance Burundaise Contre le Sida","ABS","NGOs"
15471,"Alliance Chrétienne pour la Coopération Economique et le Développement Social","ACCEDES","NGOs"
8946,"Alliance Development Trust","ADT","Private Orgs. & Foundations"
